Çıkış Transfer Merkezi,Varış Transfer Merkezi,Tarih,Toplam Desi
Mersin,Eskişehir,2026-01-01,"379,5"
Kocaeli,Şanlıurfa,2026-01-01,"1239,48"
Kocaeli,Tekirdağ,2026-01-01,"2852,7"
Sivas,Eskişehir,2026-01-01,"638,6"
Kocaeli,Sivas,2026-01-01,"1001,6"
Tekirdağ,Manisa,2026-01-01,"2434,32"
Tekirdağ,Denizli,2026-01-01,"552,72"
Kocaeli,Erzincan,2026-01-01,1370
Kocaeli,Manisa,2026-01-01,"1257,36"
Eskişehir,Mersin,2026-01-01,"260,96"
Tekirdağ,Şanlıurfa,2026-01-01,"966,28"
Eskişehir,Kütahya,2026-01-01,"214,02"
Tekirdağ,Zonguldak,2026-01-01,"417,3"
Eskişehir,Isparta,2026-01-01,"152,52"
Tekirdağ,Balıkesir,2026-01-01,"1626,8"
Tekirdağ,Karaman,2026-01-01,"844,6"
Kocaeli,Mardin,2026-01-01,"939,72"
Manisa,Mersin,2026-01-01,"1293,1"
Kocaeli,Balıkesir,2026-01-01,"1735,84"
Kütahya,Eskişehir,2026-01-01,"338,64"
Manisa,Sivas,2026-01-01,"587,12"
Kocaeli,Mersin,2026-01-01,"1316,1"
Manisa,Tekirdağ,2026-01-01,"1960,2"
Kocaeli,Kütahya,2026-01-01,"697,38"
Manisa,Balıkesir,2026-01-01,"1580,04"
Manisa,Bilecik,2026-01-01,"1089,2"
Kocaeli,Eskişehir,2026-01-01,"2100,8"
Manisa,İstanbul,2026-01-01,"1865,76"
Kocaeli,Isparta,2026-01-01,"737,8"
Manisa,Isparta,2026-01-01,"896,88"
Kocaeli,İstanbul,2026-01-01,"2399,76"
Manisa,Eskişehir,2026-01-01,"2436,48"
Kocaeli,Bilecik,2026-01-01,"1301,8"
Manisa,Kütahya,2026-01-01,"965,44"
Eskişehir,İstanbul,2026-01-01,"370,88"
Tekirdağ,Bilecik,2026-01-01,"1096,24"
Eskişehir,Bilecik,2026-01-01,"220,58"
Tekirdağ,İstanbul,2026-01-01,"1583,88"
Balıkesir,İstanbul,2026-01-01,694
İstanbul,Isparta,2026-01-01,"12525,26"
Balıkesir,Eskişehir,2026-01-01,374
İstanbul,Bilecik,2026-01-01,"15549,84"
Bilecik,Manisa,2026-01-01,"95,6"
Bilecik,Eskişehir,2026-01-01,"187,32"
İstanbul,Balıkesir,2026-01-01,"26630,36"
İstanbul,Manisa,2026-01-01,"23100,56"
